Product name,Price,Rating 
SAMSUNG M21 2021 Edition (Arctic blue  64 GB),Rs.13068,4.2
SAMSUNG Galaxy M32 (Black  128 GB),Rs.17129,4.3
SAMSUNG Galaxy A22 5G (Violet  128 GB),Rs.18990,4.3
SAMSUNG Guru Music 2 SM-B315E,Rs.2035,4.2
SAMSUNG Galaxy M12 (Black  128 GB),Rs.13356,4.2
SAMSUNG Galaxy A22 (Black  128 GB),Rs.18499,4.2
SAMSUNG M32 5G (Sky blue  128 GB),Rs.19117,4.2
SAMSUNG M21 2021 Edition (Charcoal Black  128 GB),Rs.16989,4.3
SAMSUNG Galaxy F42 5G (Matte Black  128 GB),Rs.22999,4.1
SAMSUNG Galaxy M32 5G (Slate Black  128 GB),Rs.21989,4.2
SAMSUNG Galaxy F42 5G (Matte Aqua  128 GB),Rs.22999,4.1
SAMSUNG GURU 1200,Rs.1685,4.7
SAMSUNG Galaxy M52 5G (Icy Blue  128 GB),Rs.29968,4.3
SAMSUNG Galaxy A12 (White  64 GB),Rs.12999,4.2
SAMSUNG Guru GT,Rs.1680,4.1
SAMSUNG Galaxy M11 (Violet  64 GB),Rs.11989,4.2
SAMSUNG Galaxy A12 (Blue  128 GB),Rs.15499,4.1
SAMSUNG Galaxy A52s 5G (Awesome Violet  128 GB),Rs.30990,4.3
SAMSUNG Galaxy M32 5G (Sky Blue  128 GB),Rs.21975,4.2
Product name,Price,Rating 
SAMSUNG Galaxy A03 Core (Blue  32 GB),Rs.7999,4.1
SAMSUNG Galaxy A12 (Black  64 GB),Rs.12999,4.2
SAMSUNG Galaxy A03 Core (Black  32 GB),Rs.7999,4.1
SAMSUNG Galaxy M32 (Blue  64 GB),Rs.15669,4.2
SAMSUNG GURU GT,Rs.1680,4.1
SAMSUNG Guru GT,Rs.1775,4.1
SAMSUNG Galaxy A52s 5G (Awesome White  128 GB),Rs.37499,4.3
SAMSUNG Galaxy A12 (Blue  64 GB),Rs.12999,4.2
SAMSUNG Galaxy A22 (Black  128 GB),Rs.18881,4.2
SAMSUNG Galaxy A32 (Awesome Black  128 GB),Rs.23499,4.6
SAMSUNG S20 FE 5G (Cloud Navy  128 GB),Rs.37377,4.3
SAMSUNG Galaxy A03s (White  32 GB),Rs.11499,4.2
SAMSUNG Galaxy A72 (Awesome Black  128 GB),Rs.35477,4.3
SAMSUNG Galaxy A20s (Green  32 GB),Rs.11298,4.3
SAMSUNG Galaxy M51 (Electric Blue  128 GB),Rs.30989,4.4
SAMSUNG GT-E1215ZKAINS,Rs.1100,4.3
SAMSUNG Galaxy A20s (Black  32 GB),Rs.11298,4.3
SAMSUNG Galaxy A32 (Awesome Blue  128 GB),Rs.24390,4.6
SAMSUNG Galaxy A03s (Blue  64 GB),Rs.12499,4.1
SAMSUNG M02s (Blue  32 GB),Rs.11490,4.1
SAMSUNG Galaxy M11 (Black  64 GB),Rs.11989,4.2
SAMSUNG Galaxy S9 (Lilac Purple  64 GB),Rs.62500,4.4
SAMSUNG Galaxy A51 (Haze Crush Silver  128 GB),Rs.20999,4.3
SAMSUNG Galaxy A70s (Prism Crush White  128 GB),Rs.24999,4.3
